IsHoliday,Temp,Rain1h,Snow1h,CloudsAll,WeatherMain,WeatherDescription,Time,TrafficVolume
None,268.86,0,0,75,Clouds,broken clouds,2017-12-22 17:00:00,4871
None,267.68,0,0,40,Clouds,scattered clouds,2017-12-22 18:00:00,4105
None,267.36,0,0,90,Clouds,overcast clouds,2017-12-22 19:00:00,3464
None,267.43,0,0,90,Clouds,overcast clouds,2017-12-22 20:00:00,2972
None,267.29,0,0,90,Clouds,overcast clouds,2017-12-22 21:00:00,3096
None,267.51,0,0,90,Snow,light snow,2017-12-22 22:00:00,2584
None,266.82,0,0,90,Snow,light snow,2017-12-22 23:00:00,1779
None,266.02,0,0,90,Snow,light snow,2017-12-23 00:00:00,1141
None,264.95,0,0,1,Snow,light snow,2017-12-23 01:00:00,698
None,263.79,0,0,90,Snow,light snow,2017-12-23 03:00:00,391
None,263.55,0,0,90,Snow,light snow,2017-12-23 04:00:00,359
None,262.95,0,0,40,Snow,light snow,2017-12-23 05:00:00,596
None,262.44,0,0,1,Clear,sky is clear,2017-12-23 06:00:00,1016
None,261.22,0,0,1,Clear,sky is clear,2017-12-23 07:00:00,1390
None,260.86,0,0,5,Clear,sky is clear,2017-12-23 08:00:00,2008
None,260.95,0,0,5,Clear,sky is clear,2017-12-23 09:00:00,2819
None,262,0,0,1,Clear,sky is clear,2017-12-23 10:00:00,3375
None,263.74,0,0,5,Clear,sky is clear,2017-12-23 11:00:00,4002
None,265,0,0,5,Clear,sky is clear,2017-12-23 12:00:00,4175
None,266.22,0,0,20,Clouds,few clouds,2017-12-23 13:00:00,4475
None,266.93,0,0,5,Clear,sky is clear,2017-12-23 14:00:00,4305
None,267.55,0,0,5,Clear,sky is clear,2017-12-23 15:00:00,4107
None,267.55,0,0,1,Clear,sky is clear,2017-12-23 16:00:00,4144
None,266.82,0,0,5,Clear,sky is clear,2017-12-23 17:00:00,3994
None,265.79,0,0,20,Clouds,few clouds,2017-12-23 18:00:00,3532
None,265.15,0,0,90,Clouds,overcast clouds,2017-12-23 19:00:00,2949
None,264.82,0,0,75,Clouds,broken clouds,2017-12-23 20:00:00,2420
None,265.02,0,0,1,Clear,sky is clear,2017-12-23 21:00:00,2449
None,265.08,0,0,40,Clouds,scattered clouds,2017-12-23 22:00:00,2372
None,264.75,0,0,75,Clouds,broken clouds,2017-12-23 23:00:00,1840
None,264.65,0,0,90,Clouds,overcast clouds,2017-12-24 00:00:00,1147
None,264.72,0,0,90,Clouds,overcast clouds,2017-12-24 01:00:00,963
None,265.01,0,0,90,Clouds,overcast clouds,2017-12-24 02:00:00,861
None,264.44,0,0,40,Clouds,scattered clouds,2017-12-24 03:00:00,374
None,264.22,0,0,75,Clouds,broken clouds,2017-12-24 04:00:00,303
None,264.84,0,0,90,Clouds,overcast clouds,2017-12-24 05:00:00,529
None,264.86,0,0,90,Clouds,overcast clouds,2017-12-24 06:00:00,839
None,265.07,0,0,90,Clouds,overcast clouds,2017-12-24 07:00:00,964
None,264.99,0,0,90,Snow,light snow,2017-12-24 08:00:00,1477
None,265,0,0,90,Clouds,overcast clouds,2017-12-24 09:00:00,2250
None,265.08,0,0,90,Clouds,overcast clouds,2017-12-24 10:00:00,2929
None,265.75,0,0,90,Snow,light snow,2017-12-24 11:00:00,3200
None,266.15,0,0,90,Snow,light snow,2017-12-24 12:00:00,3698
